Word,Category,Sub Categorization,Definition,Notes,Link,Image,Markdown Equation,Is Model,Learning Type,Algorithm Class
Overlap Similarity,,,"The overlap coefficient is another measure of similarity between two sequences of numbers. It measures the overlap between two finite sets by using the size of the intersection divided by the smaller of the size of the two sets.In comparing two documents, overlap coefficient can be thought of as the percent of words in the document with fewer unique words that are also in the other document. If set A is a subset of B or the converse, then the overlap coefficient is equal to 1.",,,,,,,
Oversampling,,,"Technique used in machine learning to address class imbalance, where the minority class has significantly fewer instances than the majority class. It involves increasing the number of samples in the minority class to balance the dataset. By doing this, oversampling helps to prevent models from being biased toward the majority class and improves the model’s ability to learn patterns from the minority class",,,,,,,
Pareto Principle,Definition,,"80/20 Rule, is a principle named after the Italian economist Vilfredo Pareto, who observed that roughly 80% of the effects come from 20% of the causes.",,,,,,,
Parkinson's law of triviality,Definition,,"When a group is asked to make decisions, they often spend the most time on the simplest, least important aspects because these are easier to understand and discuss. For example, in a meeting to approve the budget for a nuclear power plant, more time might be spent discussing the design of a bike shed for employees than on the complex technicalities of the plant itself. This is because everyone understands and feels competent to discuss the bike shed, but few are knowledgeable enough to weigh in on the technical aspects of the power plant. Misallocation of Resources: The law of triviality suggests that important decisions are often overshadowed by trivial ones, leading to a misallocation of attention and resources. Cognitive Bias: People tend to focus on topics they feel more comfortable with, even if those topics are less critical. This can result in ineffective decision-making where the more significant and complex issues are neglected.",,,,,,,
Parkinson's' Law,Definition,,work expands to fill the time available for its completion,,,,,,,
Partitioning,,,,,,,,,,
Path,,,"The PATH variable is a list of directories that the shell searches to find executable programs, and adding a new directory (e.g., export PATH=""$HOME/bin:$PATH"") allows you to run scripts or programs from that location. Managing PATH correctly ensures that the right versions of commands and tools are used in your terminal",,,,,,,
Pearson's R,,,,,,,,,,
Perceptron,,,,,,,,1.0,,
Pipeline Function,,,,,,,,,,
Postings,,,,,,,,,,
Precision,Machine Learning,Evaluation,"Precision is the ratio of correct positive predictions to the overall number of Positive Predictions.  It is useful when false positives are costly (e.g., spam detection, where predicting a normal email as spam is bad).",,,,$$ P = \frac{TP}{TP + FP} $$,,,
Prediction,,,,,,,,,,
Prediction Probability,,,How confident the model is with respect to the prediction.,,,,,,,
Predictive Analytics,,,which enables you to answer the question “What is likely to happen in the future based on previous trends and patterns?”,,,,,,,
Predictors,Machine Learning,,Linear Regression,,,,,,,
Prescriptive analytics,,,"Enables autonomous decision making based on real-time or near real-time analysis of data, using predictive analytics.",,,,,,,
Principle Component Analysis (PCA),,,,,,,,1.0,,
Problem Definition,Experiement Design,,"There are distinct Types of Problems. Type 1 Problem - Question and Answer are Clear. Type 2 Problem - The Question is Clear, but the answer is unclear and abstract. Type 3 Problem - Question and Answer are both abstract..
How to differentiate different type of problems, so you can understand the type of problem you need to solve.
Type 1: What should the price of peaches be?
Type 2: What is our strategy for selling fruit?
Type 3: What are customer doing actually doing when they buy fruit? What needs are they fullfilling?",,,,,,,
Procedural,,,,,,,,,,
Pydantic,Technology,,"Pydantic is a data validation and settings management library in Python, primarily used to validate data against a specific data model (schema) and to parse and serialize complex data types. A ""Pydantic model"" refers to a class definition in Python that inherits from pydantic.BaseModel. These models define the structure of data that you expect to receive or send in your application and allow you to enforce constraints on that data.",,,,,,,
PySpark ,Data Engineering,Spark,Spark’s Python API. Think of it as a Python-based wrapper on top of core Spark.,,,,,,,
Q Learning,,,,,,,,,,
Qualitative Approach,Experiement Design,,"Observation, Open Ended Survey, Interviews, Case Studies, Participants, opposed to Subjects",,,,,,,
Question,Experiement Design,,"""The questions that get posed have been limited by imagination and data. The questions were a function of what data is available. The Drunk looking under the lamp post for their keys because that’s where the light is.
Hard to get serious about focusing on questions that they can't see how to answer.
Looking for where the light will be, not simply where the light is. 
Data about people is increasingly available, likely where the change will be.""",,,,,,,
Race Conditions,,,Multiple processes on same resources. Solved in Hadoop syntonization. Bariier. No reduce until mapper finish,,,,,,,
RAG,,,,,,,,,,
Random Surfer,,,,,,,,,,
RandomForestClassifier,Machine Learning,,,,,,,1.0,,
Randomized Grid Search,,,,,,,,,,
Randomized Search CV,,,,,,,,,,
Rational Actor,,,"Whoever is making the decision is going to intellegently work through the decision, look at the information available, do a calculation of what the highest payoff is and land on that option.",,,,,,,
Recall,Machine Learning,Evaluation,"Recall is the correct positive predicitions to the overall number of positive examples. It is useful when false negatives are costly (e.g., medical diagnosis, where missing a disease case can be dangerous).",,,,$$ R = \frac{TP}{TP + FN} $$,,,
Reciever Operating Characterisitcs (ROC) ,,,,,,,,,,
Regression,,,,,,,,,,
Regularization,Machine Learning,Regularization,"Technique used to prevent overfitting by adding a penalty term to the loss function. It discourages the model from fitting too closely to the training data, ensuring better generalization to unseen data. Traditionnaly results in bias, at benefit of materially lowering Variance.

 There are two common types of regularization: L1 Regularization (Lasso Regression): Adds the absolute values of the coefficients as a penalty term. This leads to sparse models, as some coefficients become exactly zero. L2 Regularization (Ridge Regression): Adds the squared values of the coefficients as a penalty term. This shrinks the coefficients but does not eliminate them.",,,,"Lasso: $
J(\theta) = \sum_{i=1}^{m} \left( y_i - \hat{y}_i \right)^2 + \lambda \sum_{j=1}^{n} |\theta_j|
$

Ridge:$
J(\theta) = \sum_{i=1}^{m} \left( y_i - \hat{y}_i \right)^2 + \lambda \sum_{j=1}^{n} \theta_j^2
$",,,
Reinforcement Learning,,,,,,,,,,
Relu,Machine Learning,Activation Function,,,,,,,,
Research Approach,Experiement Design,,"Broad Plan. I includes phiosophical world view about research, design and methods",,,,,,,
Research Design,Experiement Design,,"Articulate the type of inquiry, qualitative, quantitative, mixed and the specific procedures in the study. Akin to a Recipe",,,,,,,
Research Method,Experiement Design,,"Planned data collection, analysis and interpretation",,,,,,,
Resilient Distributed Dataset (RDD),Spark,,"Fundamental data structure in Apache Spark, representing an immutable, distributed collection of objects that can be processed in parallel across a cluster. RDDs provide fault tolerance through lineage, which means they can automatically recompute lost data due to node failures by keeping track of the transformations applied to the original dataset. They support two types of operations: transformations (e.g., map, filter) that define a new RDD from an existing one, and actions (e.g., collect, reduce) that return a result or save it to external storage. RDDs are designed to handle large-scale data processing efficiently, providing users with control over partitioning and persistence in memory or on disk. RDD are Key Value Pairs. They are also the original and simplest from of Data in spark.",,,,,,,
Rest API,,,"Representational State Transfer Application Programming Interfaces are a type of web API (Application Programming Interface) that adheres to the principles of REST. REST is an architectural style for designing networked applications, and it was introduced by Roy Fielding in his doctoral dissertation in 2000.",,,,,,,
Restricted Boltzmann Machines,,,,,,,,,,
Ridge Regression,Machine Learning,Regularization,Technique used to prevent overfitting by adding penalty term to loss function. Adds the squared values of the coefficients as a penalty term. This shrinks the coefficients but does not eliminate them.,"The equation that you use to calculate the cost function is not the function which is tested, you use the unconstrained model. ",,,"$$
J(\theta) = \sum_{i=1}^{m} \left( y_i - \hat{y}_i \right)^2 + \lambda \sum_{j=1}^{n} \theta_j^2
$$",1.0,,
RMSprop,Machine Learning,Loss Optimization,"Variation of Gradient Descent, which adapts the learning rate by dividing by an exponentially weighted moving average of past squared gradients. Adapts learning rates based on recent gradient magnitudes. Good for RNNs.",,,,"$$
G_t = \beta G_{t-1} + (1 - \beta) \nabla J(\theta_t)^2
$$

$$
\theta_{t+1} = \theta_t - \frac{\alpha}{\sqrt{G_t + \epsilon}} \nabla J(\theta_t)
$$

where:
- $( G_t )$ is the exponentially decaying average of squared gradients.
",,,
RNN,Machine Learning,,"Recurrent Neural Network (RNN) is a type of neural network designed for processing sequences of data by maintaining a memory of previous inputs. Unlike traditional feedforward neural networks, RNNs have connections that loop back on themselves, allowing them to retain information from previous time steps and use it to influence current outputs. This makes them well-suited for tasks involving time series, sequential data, or context-dependent tasks such as speech recognition, language modeling, and machine translation.",,,,,,,
Robust Scaler,Machine Learning,,,,,,,1.0,,
Rolling Windows,,,,,,,,,,
Root Mean Squared Error,,,Euclidean Norm. L2 Norm,,,,$MSE = \frac{1}{n} \sum_{i=1}^n (y_i - \hat{y}_i)^2$,,,
Scalar,Statistics,Definition,,,,,,,,
Semi Structured Data,,,"Semi-structured data is data such as JavaScript object notation (JSON) files, which may require flattening prior to loading into your source system. When flattened, this data doesn't have to fit neatly into a table structure.",,,,,,,
Semi Supervised,,,,,,,,,,
Shapley Additive Explanations (SHAP),,,"Method for interpreting machine learning models based on Shapley values from cooperative game theory. SHAP assigns importance values to individual features in a predictive model, showing how each feature contributes to the model's output.",,,,,,,
Sigmoid,Machine Learning,Activation Function,,,,,$\sigma(x) = \frac{1}{1 + e^{-x}}$,,,
Sign,Statistics,Definition,"Mathematical Function, utilized to return a binary value 1,-1,0 regardless of actual function. Utilized in piecewise functions and gradient descent algorithms, specifically SVM.",,,,"$$
\text{sgn}(x) =
\begin{cases} 
-1 & \text{if } x < 0, \\
0 & \text{if } x = 0, \\
1 & \text{if } x > 0.
\end{cases}
$$",,,
Skewness,Statistics,Definition,Skewness measures the asymmetry of the distribution of a dataset. ,,,,"$$
\text{Skewness} = \frac{n}{(n-1)(n-2)} \sum_{i=1}^{n} \left( \frac{x_i - \bar{x}}{s} \right)^3
$$
- **Skewness = 0** → Perfectly symmetric (normal distribution)
- **Skewness > 0** → Right-skewed (positive skew, tail on the right)
- **Skewness < 0** → Left-skewed (negative skew, tail on the left)
- **|Skewness| > 1** → Highly skewed (might need transformation)",,,
Slow statistics,Behavioural Economics,Books Read,Thoughtful gathering of unbiased information.,,,,,,,
SMOTE,,,"Synthetic Minority Over-sampling Technique: This technique addresses the issue of class imbalance by generating synthetic samples for the minority class. It creates new samples by interpolating between existing ones rather than simply duplicating the minority class examples, which helps prevent overfitting.",,,,,,,
SMOTEENN,,,"Synthetic Minority Over-sampling Technique combined with Edited Nearest Neighbors: a hybrid method used in machine learning to handle class imbalance, which occurs when one class in the dataset is significantly underrepresented compared to another. SMOTEENN combines two techniques",,,,,,,
Soft Voting,,,"Ensemble model gives greater weight to predictions which are most confident, less weighting to models which are not confident.",,,,,,,
Softmax,Machine Learning,Activation Function,,,,,$\sigma(z)_i = \frac{\sigma(xW^T_j)}{\sum_{j=1}^k \sigma(xW^T_j)}$,,,
Spark,Spark,,"Apache Spark is an open-source, distributed computing system designed for fast processing of large-scale data by performing tasks in-memory, which significantly speeds up computation compared to disk-based systems like Hadoop. Spark is particularly known for its lazy evaluation model, where transformations on data (such as map or filter) are not executed immediately but are only computed when an action (like collect or reduce) is triggered. This allows Spark to optimize the execution plan by minimizing the number of data passes and combining transformations. Unlike traditional systems that rely heavily on disk storage, Spark primarily keeps data in memory, leading to faster processing, though it can spill to disk if memory limits are exceeded. This design makes it highly efficient for iterative machine learning algorithms and interactive data analytics. Overhead using PySpark because of conversation to Java, P4J Python for Java.Difference Between PySpark and Python Terminal. PySpark, session is already active.",,,,,,,
Spark,Data Engineering,Spark,"A fast and general engine for large scale data processing. Distributes information across nodes to limit strain and bottleneck on individual machine. Runs ontop of a cluster Manager, script like any other script, Spark knows how to distribute . Master Program run code and manages interactions between slave tasks (executors). Can run ontop of a Hadoop Cluster – Yarn. Fault tolerant – allows node to go down without crashing or restarting job. A distributed processing framework written primarily in the Scala programming language. The framework offers different language APIs on top of the core Scala-based framework. Spark maintains MapReduce’s linear scalability and fault tolerance, but extends it in three important ways: First, rather than relying on a rigid map-then-reduce format, its engine can execute a more general directed acyclic graph of operators. This means that in situations where MapReduce must write out intermediate results to the distributed filesystem, Spark can pass them directly to the next step in the pipeline. Second, it complements its computational capability with a rich set of transformations that enable users to express computation more naturally. Out-of-the-box functions are provided for various tasks, including numerical computation, datetime processing, and string manipulation. Third, Spark extends its predecessors with in-memory processing. This means that future steps that want to deal with the same dataset need not recompute it or reload it from disk. Spark is well-suited for highly iterative algorithms as well as ad hoc queries.","Spark vs Map Reduce: Map Reduce requires files to be stored in HDFS. Map Reduce prints to Disk. Spark replacement to Map Reduce, not Hadoop.",,https://raw.githubusercontent.com/derek-dewald/d_functions/main/images/spark.png,,,,
SparkConf,Spark,,"This is used to configure the settings of Spark, such as the master node, application name, etc",,,,,,,
SparkContext,Spark,,"The entry point to low-level Spark functionalities, including creating and managing RDDs. It provides the connection to the cluster and manages job execution.",,,,,,,
SparkSQL,Data Engineering,Spark,"A Spark module for structured data processing. It is part of the core Spark framework and accessible through all of its language APIs, including PySpark.",,,,,,,
Spurious Correlation,,,"If you look hard enough, you can prove anything.",,,https://raw.githubusercontent.com/derek-dewald/d_functions/main/images/Correlation_Visual.png,,,,
SSH,,,,,,,,,,
SSL,,,,,,,,,,
Stacking,,,,,,,,,,
Standard Scaler,Machine Learning,,,,,,,1.0,,
Standarization,Machine Learning,Definition,"Transforming the data utilzing a mathematical technique in an effort to create a different disstribution, which might enhance the ability, consistency or performance of the ML Model.  Standard types include, Min Max, Standardization, ____. Generally, useful for distance calculation, eliminating cardinality from values (Age, Ordinal Rankings, standardizing valuation of distinct features. Particularly helpful in gradient descent process, to smooth learning.",,,,"### ** You Should Standardize If:**
**You’re Using Distance-Based Algorithms**  
   - Algorithms that rely on **distance metrics** (e.g., Euclidean, Manhattan) perform better when features are standardized.
   - Examples:
     - $K$-Nearest Neighbors (KNN)
     - Support Vector Machines (SVM)
     - Principal Component Analysis (PCA)
     - $K$-Means Clustering
     - Linear Regression (if gradient descent is used)

**Your Features Have Different Scales**  
   - If some features are on **very different scales**, standardization helps **prevent one feature from dominating the model**.
   - Example:
     - **Feature 1:** Age $(20$ to $80)$
     - **Feature 2:** Salary $(20,000$ to $200,000)$
   - **Without standardization**, the model might focus too much on salary because it has larger values.

**You’re Using Regularization (Lasso, Ridge, ElasticNet)**  
   - Standardization ensures that **penalty terms** ($L_1, L_2$) are applied **fairly across all features**.

 **Your Model is Sensitive to Outliers**  
   - Standardizing data **reduces the impact of extreme values** by centering around zero.

---

### ** You Can Skip Standardization If:**
**You’re Using Tree-Based Models**  
   - **Decision Trees, Random Forests, Gradient Boosting (XGBoost, LightGBM, CatBoost)** **do not require standardization**.
   - These models are not affected by feature magnitudes because they split data **based on thresholds, not distance**.

**Your Features Are Already on Similar Scales**  
   - If all features are on similar scales (e.g., all between $0$ and $1$), standardization may not add much value.

**You’re Working with Categorical Variables**  
   - Standardization applies only to **numerical features**.
   - **One-hot encoded variables do not need standardization**.",,,
Standarization (Z-Score),Statistics,Scaling,"Standardization transforms data so that it has a mean of 0 and standard deviation of 1. When the data follows a normal (Gaussian) distribution or approximately so. When features have very different ranges but need to be compared. Commonly used for:  Linear Regression, Logistic Regression, PCA, SVM with linear kernels, K-Means Clustering",,,,"$$
X' = \frac{X - \mu}{\sigma}
$$",,,
Stateless,,,Stateless - not using global variables,,,,,,,
Statistical Inference,Statistics,Definition,,,,,"#### Random
- The sample must be **randomly selected** to avoid bias.

#### Independent
- Each observation must be **independent** of others.

#### Sufficient Records
- A larger sample **reduces variability** and provides **better estimates**. Small samples often lead to **higher standard errors** and **less reliable inferences**.

#### Normal Distribution
- Many tests (**t-test, ANOVA, regression**) assume **normally distributed data. If n is large**, normality is **less of a concern** (CLT applies).
- **Shapiro-Wilk Test:** Checks for normality.
- **Q-Q Plot:** Data should align with the diagonal.

#### Homoscedasticity (Equal Variance) 
- The variance should be **constant** across different levels of the independent variable. Unequal variance (heteroscedasticity) can **bias standard errors**.
- **Levene’s Test:** Tests for equal variances.
- **Residual Plot:** If residuals show a **funnel shape**, variance is **not equal**.",,,
Stochastic Gradient Descent,,,"Stochastic Gradient Descent (SGD) is a widely used optimization algorithm in machine learning, particularly for training models like neural networks. Its primary goal is to minimize a loss function, which measures the error between the model's predictions and the actual outcomes, by iteratively adjusting the model’s parameters.

Traditional Gradient Descent vs. Stochastic Gradient Descent
In Batch Gradient Descent, the algorithm computes the gradient of the loss function with respect to the model’s parameters using the entire dataset before updating the parameters. While this approach provides a precise update direction, it is computationally expensive and slow for large datasets since it requires processing all data points in each iteration.

Stochastic Gradient Descent (SGD) addresses this issue by approximating the gradient. Instead of computing gradients over the full dataset, SGD updates the model’s parameters using just a single data point at each step. This significantly reduces computational cost per iteration, making the algorithm much faster. However, since updates are based on a single random sample, they introduce high variance (noise), causing fluctuations that may prevent smooth convergence.

Mini-Batch Gradient Descent: A Compromise
To balance efficiency and stability, a common alternative is Mini-Batch Gradient Descent. Instead of using the full dataset (Batch Gradient Descent) or a single data point (SGD), Mini-Batch Gradient Descent computes updates using a small batch of randomly selected data points (e.g., 32, 64, or 128 samples per batch). This approach:

Reduces noise compared to SGD while still being computationally efficient.
Leverages vectorized operations for faster computation using modern hardware (e.g., GPUs).
Smooths out updates while still allowing some stochasticity to escape local minima.
Benefits & Trade-offs of SGD
Faster updates: Each iteration is computationally cheaper than full-batch gradient descent.
Better exploration: The randomness in updates helps escape local minima.
Higher variance: The noisier updates may lead to less stable convergence, requiring techniques like learning rate decay or momentum to improve performance.
Slower convergence: Since updates are less precise, SGD may take longer to reach the optimal solution.
Conclusion
SGD, Mini-Batch Gradient Descent, and Batch Gradient Descent each offer different trade-offs in terms of speed, stability, and computational efficiency. In practice, Mini-Batch Gradient Descent is the most commonly used approach for deep learning, as it provides a balance between computational efficiency and convergence stability.",,,,"$$
\theta_{t+1} = \theta_t - \alpha \nabla J(\theta_t)
$$

where:
- \( \theta_t \) are the parameters at step \( t \),
- \( \alpha \) is the learning rate,
- \( \nabla J(\theta_t) \) is the gradient of the loss function \( J \).

Predicitions: $\sigma(XW^T)$
Differences: $\sigma(XW^T) - Y$
Gradient: $\frac{1}{m} (\sigma(XW^T) -Y)$",,,
Storage Driven Rounding Errors,,,"Because Python Stores only 16 decimals, it can result in rounding errors. Some numbers are obvious, such as Pie, Root 2, etc. Some numbers are less obvious, such as 1/10, as it is because of how they are represented in Binary, which is less obvious.",,,,,,,
Stripe,,,,,,,,,,
Strong Learner,,,Achieves a high level of accuracy,,,,,,,
Strongly Typed,,,,,,,,,,
Strongly Typed,,,Restrict Operation you can perform based on Object Type Python is Strongly Typed,,,,,,,
Structured Data,,,Structured data primarily comes from table-based source systems such as a relational database or from a flat file such as a comma separated (CSV) file. The primary element of a structured file is that the rows and columns are aligned consistently throughout the file.,,,,,,,
subsample,Machine Learning,Hyperparameter,Fraction of samples used per boosting iteration. Lower values add randomness and reduce overfitting.,"[0.5, 0.7, 0.9, 1.0]",,,,,,
Subtraction Rule,,,,,,,,,,
Summation Notation,Statistics,Definition,,,,,"#### Summation Notation (Σ)

The summation of a sequence is defined as:

$$
S = \sum_{i=1}^{n} a_i = a_1 + a_2 + \dots + a_n
$$

##### Example Calculation:
$$
\sum_{i=1}^{5} i = 1 + 2 + 3 + 4 + 5 = 15
$$",,,
Supervised,,,,,,,,,,
Support Vector Machines,Machine Learning,Model,"Finda the optimal hyperplane that best separates data points of different classes in a feature space. The hyperplane is chosen to maximize the margin, which is the distance between the hyperplane and the nearest data points from each class, known as support vectors. By default, generally a Linear Line, however can utilize Kernels to change, such that datasets where decision boundary is not linearly seperable can become so in higher dimensions.",,,https://raw.githubusercontent.com/derek-dewald/d_functions/main/images/SVM.png,"### Support Vector Machine (SVM) Formula

For a binary classification problem with data points $(x_i, y_i)$, where $x_i \in \mathbb{R}^n$ and $y_i \in \{-1, 1\}$, the equation of the hyperplane is: $\mathbf{w} \cdot \mathbf{x} + b = 0$.

Where:
- $\mathbf{w}$ is the weight vector (normal to the hyperplane),
- $b$ is the bias term,
- $\mathbf{x}$ is the feature vector.

---

### Optimization Objective

The goal is to maximize the margin $\frac{2}{\|\mathbf{w}\|}$ while ensuring correct classification of all points. This is formulated as:

$$
\min_{\mathbf{w}, b} \ \frac{1}{2} \|\mathbf{w}\|^2
$$

**Subject to the constraints:**

$$
y_i(\mathbf{w} \cdot \mathbf{x}_i + b) \geq 1, \quad \forall i
$$",1.0,,Classification
SVR,,,,,,,,1.0,,
Swagger,,,,,,,,,,
Synonyym Detection,,,,,,,,,,
Tail Recursive Functions,,,,,,,,,,
Tanh,Machine Learning,Activation Function,,,,,,,,
Think about the Medium,Behavioural Economics,Books Read,"Weekly, daily, hourly—the metronome of the news clock changes the very nature of what is news. Daily news always seems more informative than rolling news; weekly news is typically more informative than daily news.",,,,,,,
TLL,,,,,,,,,,
Tomek Links,,,"This is a more advanced method of undersampling, where pairs of nearest neighbor samples from different classes are identified, and if these pairs are very close to each other (called Tomek links), the majority class sample is removed. This method helps clean up overlapping data points near the decision boundary",,,,,,,
Transfer Learning,,,,,,,,,,
Transformations,Spark,,"In Spark, transformations are operations that create a new RDD from an existing one. The map transformation applies a 1-to-1 function mapping, creating a new RDD where each input element has one corresponding output, while flatMap allows 1-to-X mapping, potentially returning more or fewer elements than the input. Other transformations include filter (selects elements that satisfy a condition), distinct (removes duplicates), sample (extracts a random subset), union (combines two RDDs), intersection (returns common elements between multiple RDDs), subtract (removes elements found in another RDD), and cartesian (produces all combinations of elements from two RDDs).",,,,,,,
Transformers,Machine Learning,,.transform(),,,,,,,
True Negative,,,,,,,,,,
True Positive,,,,,,,,,,
Truth-default theory ,Behavioural Economics,,"54% accurate identifying liar. We can identify truth tellers far more easily, bad at identifying liars. We start in a default position of believing people and only when substantial evidence to the contrary presents itself do we change our position. In fact, we can even trivialize information away that in hindsight it rather pertinent. In a social experiement, teacher leaves room, answers are available, rando we’ve never met encouraging us to cheat.",,,,,,,
Undersampling,,,"Technique used in machine learning to address class imbalance, where the majority class significantly outnumbers the minority class. In this context, undersampling refers to reducing the number of instances in the majority class to balance it with the minority class. This is done by randomly or strategically removing instances from the majority class, making the dataset more balanced and allowing the machine learning algorithm to perform better on both classes.",,,,,,,
Understanding,Experiement Design,,"The ability to explain, describe, or predict the behavior of a system based on its underlying structure, mechanisms, or causal relationships. Involves forming mental models, theories, or hypotheses about how things work. Often grounded in observation, reasoning, or data analysis. Example: Understanding that increasing interest rates tends to reduce inflation through decreased spending.

We can can decide without understanding. Decision-making can be pragmatic, not always rooted in deep understanding
We can Understand, without control - Tornado.",,,,,,,
Unitended Consequences KPIs,Behavioural Economics,Books Read,"Must consider what adverse effects one might create when measuring. Doctors won’t operate on sick patients. Data needs to be understood. Maximum day wait for appointment, doctors stopped taking appointments.
",,,,,,,
Unstructured Data,,,"Unstructured data includes data stored as key-value pairs that don't adhere to standard relational models and Other types of unstructured data that are commonly used include portable data format (PDF), word processor documents, and images.",,,,,,,
Unsupervised,,,,,,,,,,
Vanishing Gradient,Machine Learning,,"Vanishing gradient problem occurs during the training of deep neural networks, particularly in Recurrent Neural Networks (RNNs) and deep feedforward networks. It happens when gradients (the values used to update a model’s weights during backpropagation) become very small as they are propagated back through the layers. This results in the early layers of the network receiving tiny weight updates, which can prevent the network from learning effectively, especially for long-range dependencies The key reason lies in the chain rule used during backpropagation to calculate gradients. When the network is deep (or when RNNs process long sequences), the gradients are multiplied many times by the weights of the network’s layers. If these weights are small, repeated multiplication can shrink the gradients exponentially as they move back through each layer. This causes the gradients to approach zero, effectively stopping the early layers from learning.",,,,,,Supervised,Neural Networks
Variance,,,"Variance refers to errors caused by models that are too sensitive to small fluctuations in the training data, often resulting in overfitting. High-variance model is overly flexible, capturing noise as if it were meaningful patterns.",,,,,,,
Variance Inflation Factor,Statistics,Definition,"A measure used to detect multicollinearity in a regression model. Multicollinearity occurs when two or more independent variables are highly correlated, which can distort the estimated coefficients and make it difficult to determine their individual effect on the dependent variable.",,,,"$$
VIF_i = \frac{1}{1 - R^2_i}
$$

where:

- $VIF_i$ is the Variance Inflation Factor for the $i$th predictor variable.
- $R_i^2$ is the coefficient of determination obtained by regressing $X_i$ on all the other independent variables in the model.",,,
Variety,,,,,,,,,,
Vector,Statistics,Definition,,,,,,,,
Velocity,,,,,,,,,,
Visualization,,,,,,,,,,
Volume,,,,,,,,,,
Weak Learner,,,Performs only slightly better than Guessing/ Random.,,,,,,,
Weakly Typed,,,Does not restrict operations which can be performed. Results in more errors.,,,,,,,
What Meaning Does a KPI actually have?,Behavioural Economics,Books Read,"Before we figure out whether nurses have had a pay raise, first find out what is meant by “nurse.” 
Before lamenting the prevalence of self-harm in young people, stop to consider whether you know what “self-harm” is supposed to mean. Before concluding that inequality has soared, ask, “Inequality of what?” Demanding a short, sharp answer to the question “Has inequality risen?” is not only unfair, but strangely incurious. If we are curious instead, and ask the right questions, deeper insight is within easy reach.
Net Wealth not indicative of poverty, Doctor who just finished med school with $100k in debt.
The billion poorest people who have a net worth of Zero might be poorer than someone with $5 as $0 doesn’t add up fast.",,,,,,,
Wicked Problems,Experiement Design,,"Complex, messy issue that is difficult or impossible to solve definitively because of incomplete, contradictory, and changing requirements. The term comes from social planning and was first introduced by Horst Rittel and Melvin Webber in 1973.",,,,"## 🔍 Characteristics of a Wicked Problem

1. **No Definitive Problem Statement**  
   - You can't clearly define the problem without trying to solve it.

2. **No Stopping Rule**  
   - You can’t definitively say when the problem is “solved.”

3. **Solutions Are Not True or False**  
   - Only better, worse, or acceptable — not objectively correct.

4. **Every Solution Is a One-Shot Operation**  
   - There is no trial-and-error. Every action has lasting consequences.

5. **No Immediate or Ultimate Test of a Solution**  
   - Effects may take time and are difficult to measure.

6. **Every Solution Alters the Problem**  
   - Solving one part often creates or reveals new problems.

7. **No Enumerated Set of Solutions**  
   - There's no fixed list of possible solutions.

8. **Every Wicked Problem Is Essentially Unique**  
   - Even if it looks similar to another, the context makes it unique.

9. **Every Wicked Problem Can Be Considered a Symptom of Another**  
   - It's often intertwined with or caused by other complex problems.

10. **Stakeholders Have Conflicting Values**  
    - What’s “better” for one group may be “worse” for another.",,,
Wide Transformation,Spark,,"Data from multiple partitions of the parent RDD may be needed to compute a single partition of the child RDD, requiring a shuffle across the network. This occurs when Spark needs to rearrange or aggregate data, like during groupByKey, reduceByKey, or join operations. Wide transformations are more costly in terms of performance because they involve data shuffling and coordination across multiple nodes.",,,,,,,
WSGI,,,,,,,,,,
X,,,"Input, Predictor, Independent, Feature, Variable",,,,,,,
XGBoost,Machine Learning,Model,,,,,,1.0,,
XOR,,,"Not Linearly Seperable. Problem for ML. Nand as Function of (x1,x2) new function (h1, h2) - ",,,https://raw.githubusercontent.com/derek-dewald/d_functions/main/images/X_OR.png,,,,
Y,,,"Output, Response, Dependent",,,,,,,
Ostrich Effect,Behavioural Economics,,"cognitive bias where people avoid information they perceive as potentially unpleasant or negative—like an ostrich metaphorically ""burying its head in the sand"" to avoid danger (even though real ostriches don’t actually do this).",,,,,,,
Biases,Behavioural Economics,,,,,,,,,
Nodes,Graph Theory,,,,,,,,,
Edges,Graph Theory,,,,,,,,,
Edge Weght,Graph Theory,,,,,,,,,
Centrality,Graph Theory,,,,,,,,,
Page Rank,Graph Theory,,,,,,,,,
Grapth Theory,Graph Theory,,,,,,,,,
